antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift,p_value,significant_bonferroni,significant_at_kept_alpha
Python,SQL,313,344,204,30.77,0.652,1.256,6.176391247785672e-11,True,True
SQL,Python,344,313,204,30.77,0.593,1.256,6.176391247785672e-11,True,True
Reporting,SQL,273,344,175,26.4,0.641,1.235,9.290938085802633e-08,True,True
SQL,Reporting,344,273,175,26.4,0.509,1.235,9.290938085802633e-08,True,True
Data Analysis,SQL,272,344,168,25.34,0.618,1.19,1.4558103350879367e-05,False,True
SQL,Data Analysis,344,272,168,25.34,0.488,1.19,1.4558103350879367e-05,False,True
Data Analysis,Reporting,272,273,159,23.98,0.585,1.42,3.803310874339292e-14,True,True
Reporting,Data Analysis,273,272,159,23.98,0.582,1.42,3.803310874339292e-14,True,True
Machine Learning,Python,219,313,158,23.83,0.721,1.528,7.103068012194901e-20,True,True
Python,Machine Learning,313,219,158,23.83,0.505,1.528,7.103068012194901e-20,True,True
Database,SQL,202,344,141,21.27,0.698,1.345,5.579314711707549e-10,True,True
SQL,Database,344,202,141,21.27,0.41,1.345,5.579314711707549e-10,True,True
Power BI,SQL,176,344,139,20.97,0.79,1.522,8.069047234742934e-18,True,True
SQL,Power BI,344,176,139,20.97,0.404,1.522,8.069047234742934e-18,True,True
Data Management,SQL,200,344,133,20.06,0.665,1.282,4.778226001029538e-07,True,True
SQL,Data Management,344,200,133,20.06,0.387,1.282,4.778226001029538e-07,True,True
Power BI,Reporting,176,273,131,19.76,0.744,1.808,1.0847892709425558e-25,True,True
Reporting,Power BI,273,176,131,19.76,0.48,1.808,1.0847892709425558e-25,True,True
English,Python,241,313,130,19.61,0.539,1.143,0.005490748739670205,False,False
Python,English,313,241,130,19.61,0.415,1.143,0.005490748739670205,False,False
Data Management,Python,200,313,129,19.46,0.645,1.366,3.3565517861497053e-09,True,True
Python,Data Management,313,200,129,19.46,0.412,1.366,3.3565517861497053e-09,True,True
Power BI,Data Analysis,176,272,124,18.7,0.705,1.717,2.3149699031839613e-20,True,True
Data Analysis,Power BI,272,176,124,18.7,0.456,1.717,2.3149699031839613e-20,True,True
Database,Python,202,313,123,18.55,0.609,1.29,2.1708748291488664e-06,True,True
Python,Database,313,202,123,18.55,0.393,1.29,2.1708748291488664e-06,True,True
Data Warehouse,SQL,141,344,114,17.19,0.809,1.558,1.3632197041733222e-15,True,True
Reporting + SQL,Power BI,175,176,110,16.59,0.629,2.368,3.182876246181324e-34,True,True
AI,Machine Learning,147,219,109,16.44,0.741,2.245,9.127353934474904e-32,True,True
AI,Python,147,313,109,16.44,0.741,1.571,6.083972600137755e-14,True,True
Data Analysis + SQL,Reporting,168,273,109,16.44,0.649,1.576,5.911439333505263e-13,True,True
Machine Learning,AI,219,147,109,16.44,0.498,2.245,9.127353934474904e-32,True,True
ETL,SQL,128,344,106,15.99,0.828,1.596,7.228548630210268e-16,True,True
Data Management,Reporting,200,273,105,15.84,0.525,1.275,7.453954269532607e-05,False,False
Reporting,Data Management,273,200,105,15.84,0.385,1.275,7.453954269532607e-05,False,False
Data Analysis + Python,SQL,118,344,104,15.69,0.881,1.699,6.39822054059743e-20,True,True
Cloud,Python,150,313,103,15.54,0.687,1.455,1.523170819518814e-09,True,True
Data Management + Python,SQL,129,344,101,15.23,0.783,1.509,6.77841004943644e-12,True,True
Data Management + SQL,Python,133,313,101,15.23,0.759,1.609,5.148800801388867e-14,True,True
Python + SQL,Data Management,204,200,101,15.23,0.495,1.641,1.1492599170135319e-12,True,True
Data Analysis + SQL,Power BI,168,176,100,15.08,0.595,2.242,6.2921519727178756e-27,True,True
Python + Reporting,SQL,114,344,98,14.78,0.86,1.657,6.508500204111998e-17,True,True
API,Python,138,313,97,14.63,0.703,1.489,7.018002448532543e-10,True,True
Data Analysis + Reporting,Power BI,159,176,96,14.48,0.604,2.274,3.3233033280014113e-26,True,True
AWS,Cloud,115,150,95,14.33,0.826,3.651,7.236162513883981e-55,True,True
