job_id,title_clean,company,job_family,jf_domain,jf_subdomain,seniority,city,company_type,n_skills,text_len,dominant_topic,topic_weight,dominant_topic_share
careerviet:35C71D71,Giám đốc Trung tâm Trí tuệ nhân tạo,Công ty Cổ phần Tập đoàn Meey Land,DATA_LEADERSHIP,Data Leadership,Leadership,Manager,Hà Nội,real_estate_construction,21,5293,0,0.154903,0.4481
careerviet:35C77385,Nhân viên Phân tích nghiệp vụ,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,3,2251,0,0.151846,0.6656
itviec:50d34548-7d69-4350-bddf-3d225f4584f2,IT Automation Developer,Minh Việt International (IMV),DATA_ENGINEER,Data Engineering,Pipelines & Platform,Junior,Hồ Chí Minh,unknown,15,2898,0,0.13783,0.4289
careerviet:35C7AF7D,IT Business Analyst,Công Ty Cổ Phần Vacxin Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,healthcare_pharma,7,2463,0,0.133198,0.6249
glints:472de950-1ec1-47f7-8df2-60ad2c88fc07,AI Engineer,BIN CORPORATION GROUP,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Junior,,unknown,7,4171,0,0.133124,0.5285
glints:69cdc652-a013-46e1-a789-c2f9e14b5f97,ML/AI Engineer,Viettel Cyber Security,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Mid,,tech_software,16,3283,0,0.129652,0.493
glints:5f30220c-5edd-40ad-aebe-fa5fa0f8a99b,AI Research Intern,Gsoft,RESEARCH_SCIENTIST,AI / Machine Learning,Data / Decision Science,Intern,,tech_software,7,1542,0,0.12831,0.538
glints:d53845ee-66df-4d37-a7d3-c839fc60e4c2,AI ENGINEER – GEN AI,Viettel Cyber Security,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Mid,,tech_software,13,2096,0,0.128126,0.4822
itviec:48b31cd4-dd64-4677-a871-556756f904ac,Manager Software Engineer/Technical Lead Engineer,One Mount Group,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Manager,Hà Nội,tech_software,14,5024,0,0.127761,0.4231
careerviet:35C796E3,Senior Business Analyst - Chuyên Viên Phân Tích Nghiệp Vụ,Công ty Cố phần giải pháp công nghệ ITE,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,tech_software,5,4032,0,0.125251,0.4927
topcv:2172898,Business Data Analyst,VIETTEL DIGITAL SERVICES CORPORATION - BRANCH OF VIETTEL GROUP,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hà Nội,tech_software,8,2258,0,0.125145,0.4541
careerviet:35C704F3,Chuyên viên cao cấp/Chuyên viên chính Phân tích dữ liệu nâng cao – Khối Công nghệ thông tin,Ngân Hàng TMCP Tiên Phong (TPBank),DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Hà Nội,bank_finance,11,2629,0,0.12413,0.4587
careerviet:35C78FAB,Giám đốc Phòng Phát Triển ứng dụng và sản phẩm,Công ty TNHH Chứng khoán ACB,DATA_LEADERSHIP,Data Leadership,Leadership,Manager,Hồ Chí Minh,bank_finance,9,2468,0,0.121953,0.4543
topdev:2113692,Kỹ Sư Dữ Liệu,Tổng Công Ty Hạ Tầng Mạng (VNPT-Net),DATA_ENGINEER,Data Engineering,Pipelines & Platform,Junior,Hà Nội,telecom,10,2462,0,0.121193,0.5901
topcv:2184405,Data Scientist Expert - Hà Nội - TA150,Vpbank,DATA_SCIENTIST,AI / Machine Learning,Data / Decision Science,Senior,Hà Nội,bank_finance,10,3043,0,0.121182,0.511
topcv:2179754,Junior Data Scientist - TA192,Vpbank,DATA_SCIENTIST,AI / Machine Learning,Data / Decision Science,Junior,Hà Nội,bank_finance,22,3823,0,0.117792,0.4297
glints:61690f47-8844-4d5e-a1ab-3dab4a542fd6,AI Engineer,Công ty cổ phần Aimesoft,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Junior,,tech_software,9,1980,0,0.117628,0.5102
topcv:2168178,"BI Analyst - Power Platform, Power BI Thu Nhập 12 - 15 Triệu",CÔNG TY TNHH VY LÊ TRAINING,BI,Analytics,Data Analysis & BI,Mid,Hồ Chí Minh,education,8,2002,0,0.116114,0.5125
itviec:c62cf212-931c-4bae-8701-6ead6070aa5c,Senior Data Architect,PVcomBank,DATA_ARCHITECT,Governance & Architecture,Governance & Architecture,Senior,Hà Nội,bank_finance,5,2428,0,0.116048,0.4253
glints:288fdff6-5a5e-4895-96e8-c7d248f40611,AI engineer,Step Up English,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Mid,,education,7,2343,0,0.11375,0.5353
topcv:2195339,Lead Analytics Engineer,CÔNG TY TNHH THƯƠNG MẠI VÀ TRUYỀN THÔNG QUẢNG CÁO GOLDEN PHOENIX,ANALYTICS_ENGINEER,Data Engineering,Pipelines & Platform,Lead,Hà Nội,media_gaming,9,3050,0,0.111617,0.4141
