cluster_id,skill,skill_n_in_cluster,cluster_n_jobs,skill_share_in_cluster,skill_n_overall,total_clustered_jobs,skill_share_overall,lift
0,Business Analysis,82,93,88.2,124,709,17.5,5.04
0,English,42,93,45.2,243,709,34.3,1.32
0,Agile,35,93,37.6,72,709,10.2,3.71
0,ERP,24,93,25.8,58,709,8.2,3.15
0,SQL,23,93,24.7,344,709,48.5,0.51
0,Data Analysis,19,93,20.4,285,709,40.2,0.51
0,Reporting,16,93,17.2,276,709,38.9,0.44
0,API,9,93,9.7,139,709,19.6,0.49
0,Oracle,8,93,8.6,74,709,10.4,0.82
0,Azure,7,93,7.5,95,709,13.4,0.56
0,Database,7,93,7.5,202,709,28.5,0.26
0,Power BI,6,93,6.5,176,709,24.8,0.26
0,Machine Learning,6,93,6.5,219,709,30.9,0.21
0,Excel,5,93,5.4,105,709,14.8,0.36
0,Cloud,5,93,5.4,150,709,21.2,0.25
0,LLM,4,93,4.3,118,709,16.6,0.26
0,AI,4,93,4.3,147,709,20.7,0.21
0,Business Intelligence,3,93,3.2,57,709,8.0,0.4
0,AWS,3,93,3.2,115,709,16.2,0.2
0,Statistics,3,93,3.2,117,709,16.5,0.2
0,Databricks,2,93,2.2,31,709,4.4,0.49
0,MySQL,2,93,2.2,45,709,6.3,0.34
0,PostgreSQL,2,93,2.2,66,709,9.3,0.23
0,Tableau,2,93,2.2,92,709,13.0,0.17
0,Big Data,2,93,2.2,108,709,15.2,0.14
0,Data Quality,2,93,2.2,115,709,16.2,0.13
0,Data Management,2,93,2.2,201,709,28.3,0.08
0,C#,1,93,1.1,17,709,2.4,0.45
0,Google Sheets,1,93,1.1,19,709,2.7,0.4
0,Looker,1,93,1.1,37,709,5.2,0.21
0,Java,1,93,1.1,47,709,6.6,0.16
0,SQL Server,1,93,1.1,58,709,8.2,0.13
0,CI/CD,1,93,1.1,69,709,9.7,0.11
0,Data Visualization,1,93,1.1,77,709,10.9,0.1
0,Data Modeling,1,93,1.1,85,709,12.0,0.09
0,GCP,1,93,1.1,81,709,11.4,0.09
0,Data Engineering,1,93,1.1,100,709,14.1,0.08
0,Data Science,1,93,1.1,151,709,21.3,0.05
0,Data Warehouse,1,93,1.1,141,709,19.9,0.05
0,Python,1,93,1.1,313,709,44.1,0.02
1,Data Analysis,49,55,89.1,285,709,40.2,2.22
1,Reporting,27,55,49.1,276,709,38.9,1.26
1,English,12,55,21.8,243,709,34.3,0.64
1,SQL,7,55,12.7,344,709,48.5,0.26
1,Data Management,6,55,10.9,201,709,28.3,0.38
1,Statistics,5,55,9.1,117,709,16.5,0.55
1,Business Intelligence,4,55,7.3,57,709,8.0,0.9
