job_id,title_clean,company,job_family,jf_domain,jf_subdomain,seniority,city,company_type,n_skills,cluster_id
topdev:2112037,Senior D&A Developer,HEINEKEN Vietnam,BI,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,retail_consumer,11,0
careerviet:35C76A98,IT Business Analyst,Công Ty Tài Chính Mirae Asset (Việt Nam),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,6,0
careerviet:35C77385,Nhân viên Phân tích nghiệp vụ,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,3,0
careerviet:35C78EA5,IT Junior Application Analyst,Techtronic Industries Vietnam Manufacturing Company Limited,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,manufacturing,4,0
careerviet:35C793DA,Chuyên viên phân tích nghiệp vụ 20-30 triệu + thưởng hàng tháng,CÔNG TY CỔ PHẦN PHÁT TRIỂN CƠ ĐIỆN LẠNH HOÀNG ĐẠT,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,manufacturing,1,0
careerviet:35C7958C,Business Analyst,CÔNG TY TNHH CÔNG NGHỆ B2B,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,tech_software,7,0
itviec:08ca65c3-b3dd-489a-9488-26f72d302a2b,Middle Business Analyst,GON TECH,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,11,0
itviec:09d20403-76db-45d0-b524-040fd33bdae7,Technical Business Analyst,LINH LONG ELECTRONIC ENGINEERING,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,manufacturing,7,0
itviec:126cc3b2-7e5a-486f-853d-8ff033e0b54c,IT Business Analyst Presales,EMESOFT,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,5,0
itviec:15eaa393-1cd8-4fa9-b4cc-69067c1ff118,Middle/Senior Business Analyst,Alpaca Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,unknown,5,0
itviec:18d299b3-e6a4-4ca7-968a-febd1611c762,Senior Product Owner,One Mount Group,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,tech_software,6,0
itviec:2716977d-1661-4807-aadb-bb64a2cb7d1b,Expert/Sr. IT Business Analyst,FE CREDIT,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,bank_finance,5,0
itviec:332987a8-2c53-4888-b26b-4e8e15e1678c,IT Business Analyst,PAL TECH,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,2,0
itviec:460b0bb9-d47b-430a-86d0-747080df5c68,Business Analyst,Saigon Technology,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,9,0
itviec:467e2a38-3ee0-4359-8edb-d3dbef3a8dd9,Business Analyst - Middle+ - Upto 2000$,Viettel Post (A Member of Viettel Group),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,logistics,4,0
itviec:51a51362-f6a5-40d0-b2cd-e9ab245ee522,Product Owner,Earth Venture,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,unknown,3,0
itviec:5a20d7b7-6a84-4554-b747-60e824cc492c,IT Business Analyst,Laidon Group,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Đà Nẵng,unknown,3,0
itviec:60dcf0fc-4688-40d2-ac57-182b4b4f7fca,Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ & TRÍ TUỆ NHÂN TẠO ASTRAL-X,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,tech_software,3,0
itviec:61417c67-16d7-41df-8cd3-b053022ed27d,Business Analyst | Lending,Innotech Vietnam Corporation,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,tech_software,5,0
itviec:6152f075-4d87-4536-98a1-1aafc71d82be,Senior / Lead Business Analyst,VIHAT Technology,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Lead,Hồ Chí Minh,tech_software,6,0
itviec:69262a1d-b111-4a17-970b-1780579a43a3,Senior Business Analyst,Excel Technologies,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,tech_software,7,0
