topic_id,rank,term,weight
0,1,phap,0.595126
0,2,thuat,0.527397
0,3,tang,0.490365
0,4,tao,0.488233
0,5,huong,0.486227
0,6,nhu,0.461349
0,7,lap,0.459492
0,8,cuu,0.458581
0,9,nghien cuu,0.454433
0,10,nghien,0.454433
1,1,business,0.244313
1,2,systems,0.23818
1,3,technical,0.217706
1,4,development,0.217652
1,5,performance,0.212513
1,6,across,0.205077
1,7,ensure,0.203962
1,8,design,0.201466
1,9,solutions,0.197818
1,10,communication,0.187802
2,1,ai,0.619578
2,2,learning,0.424599
2,3,llm,0.385419
2,4,machine,0.370077
2,5,machine learning,0.364601
2,6,python,0.326969
2,7,engineer,0.305418
2,8,ai engineer,0.27128
2,9,vision,0.270367
2,10,pytorch,0.266744
3,1,lake,0.398939
3,2,data warehouse,0.388411
3,3,warehouse,0.386701
3,4,data lake,0.374166
3,5,etl,0.372973
3,6,data engineer,0.348619
3,7,elt,0.312444
3,8,spark,0.303393
3,9,lake data,0.280351
3,10,airflow,0.277975
4,1,business analyst,0.686005
4,2,business,0.557751
4,3,analyst,0.557481
4,4,business analysis,0.545377
4,5,agile,0.366983
4,6,erp,0.291849
4,7,analyst domain,0.252374
4,8,expertise business,0.249324
4,9,office business,0.22048
4,10,agile business,0.210296
5,1,rui,0.81472
5,2,ngan,0.66338
5,3,khoi,0.385573
5,4,chung,0.34281
5,5,tuan,0.272303
5,6,soat,0.272216
5,7,thieu,0.263799
5,8,khoa,0.238553
5,9,data science,0.235778
5,10,risk,0.225746
6,1,thoai,0.365861
6,2,email,0.364615
6,3,ngay,0.345853
6,4,sinh gioi,0.243141
6,5,chuong,0.240436
6,6,ai trung,0.239822
6,7,lich hen,0.234365
6,8,hen,0.234365
6,9,email truong,0.231245
6,10,truong bat,0.231245
7,1,bi,0.852126
7,2,power bi,0.815394
7,3,power,0.801168
7,4,tableau,0.554654
7,5,data analyst,0.482095
7,6,excel,0.478925
7,7,sql,0.413941
7,8,analyst,0.413842
7,9,dashboard,0.396402
7,10,reporting,0.353952
8,1,oracle,0.614202
8,2,sql server,0.5191
8,3,server,0.512405
8,4,sql,0.368462
8,5,mysql,0.348488
8,6,postgresql,0.319133
8,7,sql sql,0.281828
8,8,database,0.257123
8,9,etl,0.227354
8,10,oracle postgresql,0.213562
