company_key,company,n_postings,industry
đầu tư i.p.a,Công Ty Cổ Phần Tập Đoàn Đầu Tư I.P.A,2,bank_finance
bin,BIN CORPORATION GROUP,1,bank_finance
dnse,DNSE,1,bank_finance
evf,EVF,1,bank_finance
vrb,VRB,1,bank_finance
nenkin ggs,Nenkin GGS,1,consulting_audit
odyssey resources ( ) limited,Odyssey Resources (Vietnam) Limited.,1,consulting_audit
nova service - nova services,Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services,3,ecommerce
teecom,Công Ty Cổ Phần TEECOM,2,ecommerce
creative force,Creative Force,1,ecommerce
crossian,Crossian,1,ecommerce
phát triển dịch vụ và thương mại quốc an,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ VÀ THƯƠNG MẠI QUỐC AN,1,ecommerce
lever sphere,CÔNG TY TNHH LEVER SPHERE VIỆT NAM,1,ecommerce
lửa á châu,Công ty TNHH Lửa Á Châu,1,ecommerce
reputyze asia,Công ty TNHH Reputyze Asia,1,ecommerce
mat,Công ty cổ phần MAT Group,1,ecommerce
gems united joint stock,GEMS UNITED JOINT STOCK COMPANY,1,ecommerce
k&m holdings,K&M Holdings,1,ecommerce
spiraledge,Spiraledge,1,ecommerce
văn phòng phú thái,Văn Phòng Phú Thái Group,1,ecommerce
phát triển hương việt,CÔNG TY TNHH PHÁT TRIỂN HƯƠNG VIỆT,1,education
teenup,CÔNG TY TNHH TEENUP,1,education
ila,ILA Vietnam,1,education
tahk,TAHK,1,education
earth venture,Earth Venture,1,energy_agri
hds dịch vụ,CÔNG TY TNHH HDS DỊCH VỤ VIỆT NAM,1,logistics
minh việt international (imv),Minh Việt International (IMV),1,logistics
tmt sen vàng,CÔNG TY TNHH TMT SEN VÀNG VIỆT NAM,1,manufacturing
elmich,Công Ty Cổ Phần Elmich,1,manufacturing
green leaf holding,Công Ty Cổ Phần Green Leaf Holding,1,manufacturing
sunhouse,Công Ty Cổ Phần Tập Đoàn Sunhouse,1,manufacturing
th,Công Ty Cổ Phần Tập Đoàn TH,1,manufacturing
dainese,Công Ty TNHH Dainese Việt Nam,1,manufacturing
kanaan central,Công Ty TNHH Kanaan Central Việt Nam,1,manufacturing
standard units supply,Công Ty TNHH Standard Units Supply Việt Nam,1,manufacturing
tamada,Công Ty TNHH Tamada Việt Nam,1,manufacturing
yic one,Công Ty TNHH YIC One,1,manufacturing
delfortgroup/ wattens,"Delfortgroup/ Wattens Vietnam CO., Ltd",1,manufacturing
gsm,GSM,1,manufacturing
ltp,"LTP Vietnam., Co Ltd",1,manufacturing
mektec,Mektec,1,manufacturing
tasco,Pro Công ty cổ phần Tasco,1,manufacturing
rochdale spears,"Rochdale Spears Co., Ltd.",1,manufacturing
unigen hanoi,Unigen Vietnam Hanoi Co.Ltd,1,manufacturing
bravestars,"BRAVESTARS.,JSC",1,media_gaming
blackgems global,CÔNG TY CỔ PHẦN BLACKGEMS GLOBAL,1,media_gaming
ttt,TTT Corporation,1,media_gaming
urbox,URBOX,1,media_gaming
vega,Vega Corporation,1,media_gaming
sofitel,Sofitel,2,real_estate_construction
archetype,Archetype Vietnam Ltd.,1,real_estate_construction
prime,Công Ty Cổ Phần Prime Group,1,real_estate_construction
alpha plus,Công Ty TNHH Alpha Plus,1,real_estate_construction
ntl,Công ty cổ phần NTL Việt Nam,1,real_estate_construction
the grand ho tram,The Grand Ho Tram,1,real_estate_construction
bel,Bel,1,retail_consumer
jemmia,CÔNG TY CỔ PHẦN JEMMIA,1,retail_consumer
roosterx global,CÔNG TY TNHH ROOSTERX GLOBAL,1,retail_consumer
đại hiền tâm,CÔNG TY TNHH ĐẠI HIỀN TÂM,1,retail_consumer
cp việt tinh anh,Công Ty CP Việt Tinh Anh,1,retail_consumer
openasia,Công Ty Cổ Phần Openasia,1,retail_consumer
uniben,Công Ty Cổ Phần Uniben,1,retail_consumer
t.m.g,Công Ty TNHH T.M.G,1,retail_consumer
viet thai international,Viet Thai International,1,retail_consumer
sunteco,Sunteco,2,tech_software
1office| workway,1Office| Workway,1,tech_software
alpaca,Alpaca Vietnam,1,tech_software
amigo,Amigo,1,tech_software
asilla,Asilla,1,tech_software
belle asia,"BELLE ASIA LTD.,",1,tech_software
bảo mật,Bảo mật,1,tech_software
cazoodle,CAZOODLE,1,tech_software
cadena,Cadena Vietnam,1,tech_software
lynkid,CÔNG TY CỔ PHẦN LYNKID,1,tech_software
sale plus,CÔNG TY CỔ PHẦN SALE PLUS,1,tech_software
synodus,CÔNG TY CỔ PHẦN SYNODUS,1,tech_software
toh,CÔNG TY CỔ PHẦN TOH GROUP,1,tech_software
fetek,CÔNG TY TNHH FETEK VIỆT NAM,1,tech_software
embermax,Công ty TNHH Embermax,1,tech_software
ecoit,Công ty cổ phần Ecoit,1,tech_software
digi-texx,DIGI-TEXX Vietnam,1,tech_software
facilitated work hub,Facilitated Work Hub,1,tech_software
isofh,ISOFH,1,tech_software
laidon,Laidon Group,1,tech_software
likelion,LikeLion Vietnam,1,tech_software
mercatus,Mercatus,1,tech_software
mileon,Mileon,1,tech_software
ngs,NGS,1,tech_software
new ocean is,New Ocean IS,1,tech_software
officience,Officience,1,tech_software
pratek,PRATEK,1,tech_software
sgh asia,SGH Asia Ltd.,1,tech_software
salesnow,SalesNow Inc.,1,tech_software
vcs,VCS Viet Nam,1,tech_software
vietful,VietFul,1,tech_software
volio,Volio Vietnam,1,tech_software
wbc,WBC Việt Nam,1,tech_software
xboss,xboss,1,tech_software
