token,count
Bán hàng,96
Data Engineer,94
Consultant,88
Project Management,83
Communication Skills,63
Communication,63
Customer Service/Customer Support,60
Business/Sales,60
Leadership,54
Sales,51
DevOps,47
Product Management,46
Digital Marketing,44
Team Management,44
Analytical Skills,42
Tài Chính,35
Market Research,34
Business Analyst,33
QA QC,33
Giao Tiếp,33
Problem Solving,32
Automation Test,32
Teamwork,31
Product Owner,31
Nghiên Cứu Thị Trường,31
TypeScript,29
Jira,29
Marketing,29
communication,29
Tester,28
Quản Lý Dự Án,28
Chăm Sóc Khách Hàng,28
ReactJS,26
Microservices,26
Data Analyst,25
Phát triển kinh doanh,25
Business Development,24
Figma,24
Risk Management,24
MLOps,23
FastAPI,23
VBA,23
Financial Analysis,22
Production Planning,22
Kỹ năng giao tiếp,22
Communication skills,22
Microsoft Office,21
Customer Service,20
System Admin,20
Trade Marketing,20
Kế Toán,20
Negotiation,20
Banking,19
Spring Boot,19
Sales Planning,19
Supply Chain Management,19
Stakeholder Management,18
Prompt Engineering,18
SAP,18
UI-UX,18
CRM,18
Core Banking,18
Giải Quyết Vấn Đề,18
Kinh Doanh,18
Marketing Strategy,18
Stakeholder management,17
Phát Triển Sản Phẩm,17
Natural Language Processing (NLP),16
English Language,16
Financial,16
Data Entry,16
Accounting,16
Công Nghệ Thông Tin,16
Problem-solving,15
Python Programming,15
Database Systems,14
Cloud Security,14
Giao tiếp,14
Inventory Management,14
Training,14
Learning Development,14
Telesales,13
Sales Admin,13
Software Architecture,13
Fullstack,13
Ngân Hàng,13
Quản Trị Rủi Ro,13
Sales & Business Development,13
Data Collection,13
Phát Triển Kinh Doanh,13
Project Coordination,13
Product Development,13
Kế toán viên,12
IT Business Analyst,12
Business Planning,12
Giải quyết vấn đề,12
English Communication,12
Chuyển đổi số,12
Lead Generation,12
Analytical Thinking,12
Kiểm Toán,12
Phân Tích Tài Chính,12
Tài Chính Ngân Hàng,12
Project management,12
Data analysis specialist,11
Nhân viên kế toán,11
Sales Executive,11
Kế Toán Tổng Hợp,11
Internal Audit,11
Solution Architecture,11
C/C++,11
Problem-Solving,11
MS Office,11
Quản Trị Nhân Lực,11
Finance,11
Negotiation Skills,11
Learning And Development,11
business analyst,11
Tuyển Dụng,11
Strategic Planning,11
Logistics,11
Data validation,10
Accountant,10
Social Media,10
Quality Control,10
Performance Management,10
Quality Assurance,10
Data Integration,10
System Architecture,10
BPMN,10
User story,10
Design,10
Japanese,10
Tiếng Trung,10
Financial Modeling,10
Tin Học Văn Phòng,10
E-Commerce,10
Lãnh Đạo,10
Ms Office,10
Research,10
Consulting,10
Ngân hàng,10
Planning Data Analysis,10
Tư Vấn Du Học,10
Market Analysis,10
analytical skills,10
Cơ Khí,10
Kế toán kho vận,9
Cộng tác viên xử lý dữ liệu,9
Data Processing Specialist,9
Kế toán tổng hợp,9
Đại diện kinh doanh,9
Chuyên Viên Kinh Doanh,9
General Accountant,9
Embedded,9
NextJS,9
OOP,9
Spring,9
Security,9
Data-Driven,9
Kinh Tế,9
Data Analysis & Processing,9
Quản Trị Kinh Doanh,9
Financial Reporting,9
Strategic Thinking,9
E-commerce,9
Lập Báo Cáo,9
Talent Acquisition,9
Google Ads,9
Warehouse Management,9
Tư Vấn,9
FMCG,9
SEO,9
Mechanical Engineering,9
Kiểm Soát Nội Bộ,9
Korean,9
C&B,9
Tài chính,9
Accountant cum Office Admin,8
Accountant and Administrative Staff,8
Nhân viên kế toán nhà máy,8
Chuyên viên kế toán chuyên quản,8
Nhân viên kế toán vật tư,8
Data Processing Executive,8
Data Processing Officer,8
Nhân viên bán hàng,8
Đại diện bán hàng,8
Sales Engineer,8
AI Engineer,8
Pattern Recognition,8
Product Design,8
Mobile Apps,8
Windows,8
Networking,8
BRD,8
Playwright,8
Analytics,8
Đàm Phán,8
Performance Marketing,8
Sales Management,8
Facebook Ads,8
Data reporting,8
Sales Operations,8
Growth Marketing,8
Demand Planning,8
Giao Tiếp Tốt,8
B2B Sales,8
Audit,8
Quản Lý Chất Lượng,8
Supply Chain Planning,8
Payment Processing,8
Nhân Viên Phòng Kế Toán,7
Credit Accountant,7
Cán bộ tài chính kế toán,7
Accounting Executive,7
Nhân viên xử lý dữ liệu,7
Chuyên viên kế toán,7
Nhân viên phòng kinh doanh,7
Salesman,7
OCR,7
Supply Chain,7
Windows Server,7
IT Security,7
Neural Network,7
