antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift
PyTorch + scikit-learn,TensorFlow,28,59,28,3.94,1.0,12.051
Computer Vision + PyTorch,TensorFlow,27,59,27,3.8,1.0,12.051
Machine Learning + TensorFlow,scikit-learn,50,34,28,3.94,0.56,11.711
LLM + PyTorch,TensorFlow,32,59,31,4.36,0.969,11.674
Python + TensorFlow,PyTorch,57,61,57,8.02,1.0,11.656
Machine Learning + TensorFlow,PyTorch,50,61,50,7.03,1.0,11.656
AI + TensorFlow,PyTorch,40,61,40,5.63,1.0,11.656
Deep Learning + TensorFlow,PyTorch,35,61,35,4.92,1.0,11.656
LLM + TensorFlow,PyTorch,31,61,31,4.36,1.0,11.656
Computer Vision + TensorFlow,PyTorch,27,61,27,3.8,1.0,11.656
English + TensorFlow,PyTorch,26,61,26,3.66,1.0,11.656
TensorFlow,PyTorch,59,61,58,8.16,0.983,11.458
PyTorch,TensorFlow,61,59,58,8.16,0.951,11.458
PyTorch + Python,TensorFlow,60,59,57,8.02,0.95,11.448
Big Data + Spark,Hadoop,50,40,32,4.5,0.64,11.376
Machine Learning + PyTorch,TensorFlow,53,59,50,7.03,0.943,11.369
TensorFlow + scikit-learn,PyTorch,29,61,28,3.94,0.966,11.254
AI + PyTorch,TensorFlow,43,59,40,5.63,0.93,11.21
English + PyTorch,TensorFlow,28,59,26,3.66,0.929,11.19
Deep Learning + PyTorch,TensorFlow,38,59,35,4.92,0.921,11.099
Machine Learning + PyTorch,scikit-learn,53,34,28,3.94,0.528,11.048
Machine Learning + scikit-learn,TensorFlow,31,59,28,3.94,0.903,10.885
Machine Learning + scikit-learn,PyTorch,31,61,28,3.94,0.903,10.528
scikit-learn,TensorFlow,34,59,29,4.08,0.853,10.279
TensorFlow,scikit-learn,59,34,29,4.08,0.492,10.279
Python + TensorFlow,scikit-learn,57,34,28,3.94,0.491,10.272
Python + scikit-learn,TensorFlow,33,59,28,3.94,0.848,10.225
AWS + Docker,Kubernetes,33,55,26,3.66,0.788,10.185
PyTorch + TensorFlow,scikit-learn,58,34,28,3.94,0.483,10.095
Python + scikit-learn,PyTorch,33,61,28,3.94,0.848,9.89
PyTorch + Python,scikit-learn,60,34,28,3.94,0.467,9.759
scikit-learn,PyTorch,34,61,28,3.94,0.824,9.599
PyTorch,scikit-learn,61,34,28,3.94,0.459,9.599
Machine Learning + NLP,Computer Vision,47,49,27,3.8,0.574,8.336
Kubernetes + Machine Learning,Docker,27,79,25,3.52,0.926,8.333
Big Data + Hadoop,Spark,33,83,32,4.5,0.97,8.307
ETL + Oracle,SQL Server,37,63,27,3.8,0.73,8.236
Computer Vision + Machine Learning,NLP,45,52,27,3.8,0.6,8.204
Data Lake + ETL,ELT,48,67,37,5.2,0.771,8.18
ETL + Spark,Kafka,42,52,25,3.52,0.595,8.139
dbt,Airflow,38,60,26,3.66,0.684,8.108
Airflow,dbt,60,38,26,3.66,0.433,8.108
Hadoop + SQL,Spark,30,83,28,3.94,0.933,7.995
Hadoop + Python,Spark,28,83,26,3.66,0.929,7.954
Hadoop,Spark,40,83,37,5.2,0.925,7.924
Spark,Hadoop,83,40,37,5.2,0.446,7.924
SQL + Spark,Hadoop,63,40,28,3.94,0.444,7.9
Kubernetes + Python,Docker,39,79,34,4.78,0.872,7.846
