cluster_id,skill,skill_n_in_cluster,cluster_n_jobs,skill_share_in_cluster,skill_n_overall,total_clustered_jobs,skill_share_overall,lift
0,English,59,59,100.0,288,806,35.7,2.8
0,Data Analysis,26,59,44.1,368,806,45.7,0.97
0,Reporting,14,59,23.7,308,806,38.2,0.62
0,SQL,11,59,18.6,372,806,46.2,0.4
0,Python,8,59,13.6,335,806,41.6,0.33
0,Data Governance,4,59,6.8,80,806,9.9,0.68
0,Data Quality,4,59,6.8,124,806,15.4,0.44
0,Machine Learning,4,59,6.8,233,806,28.9,0.23
0,SQL Server,2,59,3.4,63,806,7.8,0.43
0,Data Modeling,2,59,3.4,86,806,10.7,0.32
0,Oracle,2,59,3.4,86,806,10.7,0.32
0,ETL,2,59,3.4,133,806,16.5,0.21
0,Statistics,2,59,3.4,136,806,16.9,0.2
0,Data Warehouse,2,59,3.4,147,806,18.2,0.19
0,AI,2,59,3.4,160,806,19.9,0.17
0,Power BI,2,59,3.4,197,806,24.4,0.14
0,A/B Testing,1,59,1.7,20,806,2.5,0.68
0,NLP,1,59,1.7,52,806,6.5,0.26
0,Business Intelligence,1,59,1.7,60,806,7.4,0.23
0,Data Engineering,1,59,1.7,102,806,12.7,0.13
0,Big Data,1,59,1.7,130,806,16.1,0.11
1,Excel,80,80,100.0,130,806,16.1,6.2
1,Data Analysis,52,80,65.0,368,806,45.7,1.42
1,Reporting,38,80,47.5,308,806,38.2,1.24
1,English,35,80,43.8,288,806,35.7,1.22
1,SQL,28,80,35.0,372,806,46.2,0.76
1,Power BI,27,80,33.8,197,806,24.4,1.38
1,Statistics,12,80,15.0,136,806,16.9,0.89
1,Python,12,80,15.0,335,806,41.6,0.36
1,Data Visualization,9,80,11.2,86,806,10.7,1.05
1,Google Sheets,8,80,10.0,21,806,2.6,3.84
1,Data Quality,6,80,7.5,124,806,15.4,0.49
1,Business Intelligence,4,80,5.0,60,806,7.4,0.67
1,Data Governance,4,80,5.0,80,806,9.9,0.5
1,Data Engineering,2,80,2.5,102,806,12.7,0.2
1,Tableau,2,80,2.5,109,806,13.5,0.18
1,LLM,2,80,2.5,120,806,14.9,0.17
1,AI,2,80,2.5,160,806,19.9,0.13
1,Machine Learning,2,80,2.5,233,806,28.9,0.09
1,Data Mining,1,80,1.2,28,806,3.5,0.36
1,Looker,1,80,1.2,39,806,4.8,0.26
1,SQL Server,1,80,1.2,63,806,7.8,0.16
1,Agile,1,80,1.2,76,806,9.4,0.13
1,Oracle,1,80,1.2,86,806,10.7,0.12
1,Data Pipeline,1,80,1.2,93,806,11.5,0.11
1,Big Data,1,80,1.2,130,806,16.1,0.08
1,ETL,1,80,1.2,133,806,16.5,0.08
1,Data Warehouse,1,80,1.2,147,806,18.2,0.07
2,SQL,136,192,70.8,372,806,46.2,1.53
2,Data Warehouse,101,192,52.6,147,806,18.2,2.88
2,Python,97,192,50.5,335,806,41.6,1.22
2,ETL,92,192,47.9,133,806,16.5,2.9
2,Big Data,75,192,39.1,130,806,16.1,2.42
2,Reporting,74,192,38.5,308,806,38.2,1.01
2,Data Quality,72,192,37.5,124,806,15.4,2.44
2,Spark,67,192,34.9,83,806,10.3,3.39
2,Data Engineering,63,192,32.8,102,806,12.7,2.59
2,AWS,63,192,32.8,122,806,15.1,2.17
2,English,63,192,32.8,288,806,35.7,0.92
